PAIS,CAPITAL,CONTINENTE
TRINIDAD Y TOBAGO,PUERTO ESPAÑA,AMÉRICA
TÚNEZ,TÚNEZ,ÁFRICA
TURKMENISTÁN,ASJABAD,ASIA
TURQUIA,ANKARA,ASIA
TUVALU,FUNAFUTI,OCEANÍA
UCRANIA,KIEV,EUROPA
UGANDA,KAMPALA,ÁFRICA
URUGUAY,MONTEVIDEO,AMÉRICA
UZBEKISTÁN,TASHKENT,ASIA
VANUATU,PORT VILA,OCEANÍA
VATICANO,CIUDAD DEL VATICANO,EUROPA
VENEZUELA,CARACAS,AMÉRICA
VIET-NAM,HANOI,ASIA
YEMEN,SANÁ,ASIA
YIBUTI,YIBUTI,ÁFRICA
ZAMBIA,LUSAKA,ÁFRICA
ZIMBABUE,HARARE,ÁFRICA
ZONA FRANCA INDUSTRIAL EL ALTO,LA PAZ,AMÉRICA
